Date,close,volume,roc_1260,dist_sma50,dist_sma200,dist_sma400,from_52w_high,from_52w_low,from_ath,drawdown_long,trend_ok,trend_slope_3y,vol_ratio_252_1260,hv_yz_270_ext,iv_atm_360_ext,iv_ts_ratio_30_360,news_mean_w126,news_std_w126,target_504d_logret_fwd
21-09-20,148.0235,122358500,447.97135,-0.067823935,0.22213777,0.39709138,-0.16168429,0.76574755,-0.16168429,-0.3410378,1,0.001004501,1.1655814,0.4311999999999999,0.3854999999999999,1.1784695201037614,-0.1388888888888889,1.184621848592308,-0.22212058858339606
22-09-20,156.4495,138976320,470.57751,-0.014916336,0.28801453,0.47399346,-0.11396452,0.86625989,-0.11396452,-0.3410378,1,0.001004067,1.1753222,0.4326,0.3918,1.1791730474732007,-0.1388888888888889,1.184621848592308,-0.28791327068291905
23-09-20,149.993,113053300,457.18053,-0.055069051,0.23169516,0.4108898,-0.15053024,0.78924139,-0.15053024,-0.3410378,1,0.001003066,1.1792105,0.4321,0.3936,1.2179878048780488,-0.1388888888888889,1.184621848592308,-0.27632186701816497
24-09-20,150.9895,110587840,463.32009,-0.0488567,0.23665317,0.41795116,-0.14488666,0.80112847,-0.14488666,-0.3410378,1,0.001001998,1.1785051,0.4318999999999999,0.3936,1.2314532520325203,-0.1388888888888889,1.184621848592308,-0.2709746717066198
25-09-20,154.7565,92304040,479.88384,-0.025711327,0.26399682,0.45084289,-0.12355265,0.84606438,-0.12355265,-0.3410378,1,0.001000987,1.1786107,0.4326,0.3917,1.1981107990809292,-0.1388888888888889,1.184621848592308,-0.30206442620075974
28-09-20,158.7025,84483300,505.44588,-0.002201033,0.29246478,0.48516864,-0.10120489,0.89313555,-0.10120489,-0.3410378,1,0.001000193,1.1802791,0.4338,0.3911,1.2188698542572232,-0.1388888888888889,1.184621848592308,-0.2962620137636975
29-09-20,157.244,70067960,523.90985,-0.011047881,0.2769871,0.46893356,-0.10946495,0.87573735,-0.10946495,-0.3410378,1,0.000999405,1.1828705,0.4332999999999999,0.3895,1.2267008985879333,-0.1388888888888889,1.184621848592308,-0.31460725516427096
30-09-20,157.4365,97922020,534.73502,-0.009902204,0.27495811,0.46819961,-0.10837475,0.87803365,-0.10837475,-0.3410378,1,0.000998658,1.183246,0.4328,0.3886,1.221564590838909,-0.1388888888888889,1.184621848592308,-0.3316343836534402
01-10-20,161.063,99438440,529.55811,0.012131972,0.3005032,0.49935356,-0.087836441,0.92129356,-0.087836441,-0.3410378,1,0.00099817,1.1846181,0.4322999999999999,0.4012,1.2320538384845463,-0.1388888888888889,1.184621848592308,-0.32924041989155933
02-10-20,156.25,112261960,500.13059,-0.018966809,0.25825149,0.45212812,-0.11509437,0.86388009,-0.11509437,-0.3410378,1,0.000997308,1.1885896,0.4332999999999999,0.4073,1.2712987969555611,-0.1388888888888889,1.184621848592308,-0.254923217850236
05-10-20,159.96,75506640,500.74361,0.003128348,0.28446793,0.4839694,-0.094083167,0.90813606,-0.094083167,-0.3410378,1,0.000996635,1.1904173,0.4353,0.4056,1.2756410256410255,-0.1388888888888889,1.184621848592308,-0.27954654692258135
06-10-20,154.998,101737140,470.18099,-0.028261651,0.24136465,0.43548259,-0.12218494,0.84894519,-0.12218494,-0.3410378,1,0.00099569,1.1946356,0.4359,0.4079,1.3216474626133854,-0.1388888888888889,1.184621848592308,-0.25342359062955955
07-10-20,159.7845,86188780,494.5691,0.000521223,0.27609875,0.47711872,-0.095077093,0.90604255,-0.095077093,-0.3410378,1,0.000995198,1.195848,0.435,0.4107,1.260043827611395,-0.1944444444444444,1.3318030239238188,-0.3327273291700922
08-10-20,159.5275,63482280,488.72753,-0.002069208,0.27050112,0.47215726,-0.096532586,0.90297684,-0.096532586,-0.3410378,1,0.000994749,1.1957383,0.4341,0.4172,1.2094918504314478,-0.1944444444444444,1.3318030239238188,-0.33891680745783376
09-10-20,164.3325,98157420,516.44722,0.026481162,0.30487842,0.51368154,-0.069319968,0.96029488,-0.069319968,-0.3410378,1,0.000994594,1.1984599,0.4343,0.4096,1.1625976562499998,-0.2579365079365079,1.5009707533186527,-0.38151969869103336
12-10-20,172.1465,167283960,537.81586,0.073424609,0.36266712,0.58246459,-0.025066191,1.0535068,-0.025066191,-0.3410378,1,0.000994853,1.2046874,0.4378,0.4153,1.2169516012521069,-0.2579365079365079,1.5009707533186527,-0.4218433873156435
13-10-20,172.1815,114893940,525.89833,0.071426527,0.35871245,0.57959652,-0.024867972,1.0539243,-0.024867972,-0.3410378,1,0.000995161,1.205125,0.4379,0.4152,1.2391618497109829,-0.2579365079365079,1.5009707533186527,-0.425329300243174
15-10-20,166.9325,104468960,512.78747,0.036451657,0.30952178,0.52575943,-0.054595138,0.99130985,-0.054595138,-0.3410378,1,0.000995251,1.2068183,0.4372999999999999,0.4266,1.242850445382091,-0.2579365079365079,1.5009707533186527,-0.38323489472362215
16-10-20,163.6355,129487060,481.87718,0.015680354,0.28020663,0.49304769,-0.073267355,0.95198048,-0.073267355,-0.3410378,1,0.000995043,1.2096829,0.4397999999999999,0.4342,1.243666513127591,-0.2579365079365079,1.5009707533186527,-0.34095255966717947
19-10-20,160.3605,104472520,461.9192,-0.004892987,0.25132401,0.46081674,-0.091814977,0.91291356,-0.091814977,-0.3410378,1,0.00099462,1.2099297,0.4428,0.4325,1.2608092485549134,-0.2579365079365079,1.5009707533186527,-0.331883766918613
20-10-20,160.8505,90193560,461.28588,-0.002278594,0.2519381,0.46295198,-0.089039913,0.91875869,-0.089039913,-0.3410378,1,0.000994069,1.2091041,0.4428,0.4264,1.273217636022514,-0.2579365079365079,1.5009707533186527,-0.3333716802896134
21-10-20,159.247,91854720,467.84695,-0.012863208,0.23638291,0.44603325,-0.098121168,0.8996308,-0.098121168,-0.3410378,1,0.000993271,1.2094935,0.4418999999999999,0.4163,1.257746817199135,-0.2579365079365079,1.5009707533186527,-0.2886474963237294
22-10-20,158.82,84240100,471.53139,-0.015596492,0.23000125,0.43986435,-0.10053944,0.89453719,-0.10053944,-0.3410378,1,0.000992373,1.2096478,0.4413,0.4085,1.2266829865361075,-0.2579365079365079,1.5009707533186527,-0.28178086881128606
23-10-20,160.22,69333740,468.24671,-0.007185912,0.23772035,0.45022199,-0.092610684,0.91123756,-0.092610684,-0.3410378,1,0.000991355,1.2096902,0.4407,0.4097,1.2211374176226506,-0.2896825396825397,1.5370467128983574,-0.28406858649388567
26-10-20,160.352,118023020,435.37219,-0.006731225,0.23558095,0.4490537,-0.091863116,0.91281216,-0.091863116,-0.3410378,1,0.000990416,1.2135579,0.4438,0.4245,1.254652532391048,-0.2896825396825397,1.5370467128983574,-0.326716546047242
27-10-20,164.3165,85820940,439.97305,0.017171322,0.26273574,0.48234644,-0.069410582,0.96010402,-0.069410582,-0.3410378,1,0.000989668,1.2151513,0.4311,0.4185,1.198805256869773,-0.2896825396825397,1.5370467128983574,-0.39262467004419677
28-10-20,158.139,111766600,417.63146,-0.020161297,0.21225088,0.42439757,-0.10439621,0.88641366,-0.10439621,-0.3410378,1,0.000988479,1.2200926,0.4305,0.43,1.2481395348837212,-0.2896825396825397,1.5370467128983574,-0.42477272391509063
29-10-20,160.5505,131930580,420.33868,-0.004914486,0.22756323,0.44384783,-0.090738932,0.91518004,-0.090738932,-0.3410378,1,0.000988721,1.2204289,0.4301,0.4215,1.1686832740213524,-0.2896825396825397,1.5370467128983574,-0.4493312734939614
30-10-20,151.8075,167921620,384.58224,-0.057577436,0.15815054,0.363348,-0.140254,0.81088625,-0.140254,-0.3410378,1,0.00098844,1.2314584,0.431,0.4143,1.1383055756698044,-0.242063492063492,1.6350988113728433,-0.4500695876946656
