Date,close,volume,logret_1,roc_5,rsi_14,macd_hist,atr_14_pct,vol_z_21,bb_width_20_2,vol_ratio_21_252,dist_sma20,sma_slope_20,dist_sma50,dist_sma200,dist_sma400,from_52w_high,from_52w_low,hv_yz_30_ext,iv_atm_30_ext,iv_skew_30_ext,pc_ratio_oi_30_ext,pc_ratio_vol_30_ext,iv_minus_hv30,iv_ts_ratio_30_360,news_sent_mean,news_mean_w3,news_std_w3,target_1d_logret_fwd
16-09-20,153.905,90623780,-0.02503407,-5.8284714,41.352242,-2.2074784,3.7107396,-0.22101261,15.973239,1.1085251,-0.066270497,-0.1930925,-0.034067805,0.28024214,0.45960538,-0.12837503,0.83590698,0.4232,0.4339,4.78,0.65,0.81,0.0106999999999999,1.0979251012145748,0.0,0.0,0.0,-0.022794460703642182
17-09-20,150.4365,128981000,-0.022794461,-5.2401334,38.160523,-2.3633896,3.7757117,1.0017107,17.755145,1.034474,-0.083815282,-0.3439025,-0.055407563,0.24820446,0.42434553,-0.14801852,0.79453182,0.429,0.4381,4.51,0.68,0.67,0.0091,1.1198875255623724,0.0,0.0,0.0,-0.018049869272830928
18-09-20,147.7455,177851600,-0.018049869,-5.1764638,35.848695,-2.5171404,3.8895857,2.1462418,19.879622,1.035502,-0.095487724,-0.548975,-0.07097601,0.22287089,0.39667287,-0.16325872,0.76243133,0.4382999999999999,0.4356,3.02,0.67,0.36,-0.0027,1.1186440677966103,0.0,0.0,0.0,0.001879845973491851
21-09-20,148.0235,122358500,0.001879846,-4.5923744,36.278177,-2.4662656,3.8245347,0.49509086,21.587021,1.0259507,-0.089266059,-0.7249775,-0.067823935,0.22213777,0.39709138,-0.16168429,0.76574755,0.4558,0.4543,2.95,0.62,0.54,-0.0015,1.1784695201037614,2.0,0.6666666666666666,0.942809041582061,0.05536222925745979
22-09-20,156.4495,138976320,0.055362229,-0.85991388,47.705771,-1.7641949,3.7561976,0.89151387,21.8212,1.1757145,-0.034774303,-0.7151425,-0.014916336,0.28801453,0.47399346,-0.11396452,0.86625989,0.4606,0.462,1.62,0.64,0.43,0.0014,1.1791730474732007,0.0,0.6666666666666666,0.942809041582061,-0.04214464785988178
23-09-20,149.993,113053300,-0.042144648,-2.5418278,41.555978,-1.6365164,3.9633223,0.10279241,22.65478,1.2278696,-0.069634011,-0.721585,-0.055069051,0.23169516,0.4108898,-0.15053024,0.78924139,0.4568,0.4794,2.61,0.69,0.29,0.0226,1.2179878048780488,0.0,0.6666666666666666,0.942809041582061,0.006621671632647693
24-09-20,150.9895,110587840,0.006621672,0.36759696,42.781969,-1.3961859,3.902645,-0.01350137,22.557613,1.2227769,-0.057283088,-0.76698,-0.0488567,0.23665317,0.41795116,-0.14488666,0.80112847,0.4608,0.4846999999999999,2.32,0.62,0.23,0.0238999999999999,1.2314532520325203,0.0,0.0,0.0,0.024642615940298155
25-09-20,154.7565,92304040,0.024642616,4.7453222,47.283849,-0.91785682,3.772313,-0.51128254,22.109124,1.2130676,-0.02914345,-0.8181875,-0.025711327,0.26399682,0.45084289,-0.12355265,0.84606438,0.4661999999999999,0.4693,2.46,0.61,0.48,0.0031,1.1981107990809292,0.0,0.0,0.0,0.025178466487742825
28-09-20,158.7025,84483300,0.025178466,7.214395,51.581385,-0.30191426,3.5955953,-0.74565035,21.311943,1.2434915,-0.000819416,-0.8323875,-0.002201033,0.29246478,0.48516864,-0.10120489,0.89313555,0.4807,0.4767,2.45,0.7,0.46,-0.004,1.2188698542572232,0.0,0.0,0.0,-0.009232641351617856
29-09-20,157.244,70067960,-0.009232641,0.5078316,49.960195,0.023778571,3.4962904,-1.2293398,19.885541,1.2435515,-0.005209485,-0.763535,-0.011047881,0.2769871,0.46893356,-0.10946495,0.87573735,0.4700999999999999,0.4778,1.85,0.78,0.47,0.0077,1.2267008985879333,0.0,0.0,0.0,0.0012234633160437428
