Date,open,high,low,close,volume,logret_1,overnight_ret,roc_5,rsi_14,macd_hist,atr_14_pct,vol_z_21,dist_sma20,roc_21,dist_sma50,dist_sma200,dist_sma400,bb_width_20_2,sma_slope_20,from_52w_high,from_52w_low,vol_ratio_21_252,vol_ratio_252_1260,trend_ok,drawdown_long,roc_1260,trend_slope_3y,from_ath,hv_yz_30_ext,hv_yz_270_ext,iv_atm_30_ext,iv_atm_90_ext,iv_atm_360_ext,iv_skew_30_ext,pc_ratio_oi_30_ext,pc_ratio_vol_30_ext,iv_ts_ratio_30_360,iv_minus_hv30,news_sent_mean,news_mean_w3,news_std_w3,news_mean_w21,news_std_w21,news_mean_w63,news_std_w63,news_mean_w126,news_std_w126
05-07-16,36.14,36.4055,35.9805,36.405,48628620,0.003329255,-0.003976588,5.3141634,59.384676,-0.015021752,1.7076812,-0.65166436,0.017295846,0.35284064,0.040958969,0.17010331,,5.1418016,-0.010595,,,,,1,-0.30534461,,,-0.000192244,,,,,,,,,,,0,0,0,0,0,0,0,0,0
06-07-16,36.2855,36.8885,36.129,36.8805,78764980,0.012976828,-0.003287915,4.1895614,63.089427,0.042846942,1.7123562,0.38155541,0.029585526,1.4971172,0.051206577,0.18350971,,5.718643,0.0017575,,,,,1,-0.30534461,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0
07-07-16,36.9665,36.9775,36.5815,36.8285,58915660,-0.001410954,0.002329141,2.930408,62.41889,0.071067689,1.669094,-0.33562238,0.027421814,1.7727361,0.046155428,0.18005948,,6.1054622,0.016465,,,,,1,-0.30534461,,,-0.001409959,,,,,,,,,,,0,0,0,0,0,0,0,0,0
08-07-16,37.007,37.305,36.9,37.2905,68584340,0.012466601,0.004835082,4.2187194,65.887845,0.1118666,1.6219431,-0.030987252,0.03899451,2.6381702,0.055105835,0.19288097,,6.9355924,0.027615,,,,,1,-0.30534461,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0
11-07-16,37.5,37.795,37.35,37.689,63905440,0.010629672,0.005602331,3.8722302,68.581749,0.15410313,1.5857789,-0.24302368,0.047480415,3.5910122,0.061821095,0.2035331,,8.1760118,0.0459375,,,,,1,-0.30534461,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0
12-07-16,37.843,37.867,37.0165,37.4105,112473140,-0.007416861,0.004077748,2.7619832,64.734166,0.15147082,1.6458585,1.4133701,0.037363728,4.2205848,0.051349931,0.19259783,,8.8311187,0.0619725,,,,,1,-0.30534461,,,-0.007389424,,,,,,,,,,,0,0,0,0,0,0,0,0,0
13-07-16,37.338,37.8435,37.0625,37.1315,82845300,-0.007485748,-0.001939839,0.68057646,61.039669,0.12047645,1.6900188,0.33843848,0.027964744,3.8294838,0.041788246,0.18164712,,9.1793489,0.072375,,,,,1,-0.30534461,,,-0.014792114,,,,,,,,,,,0,0,0,0,0,0,0,0,0
14-07-16,37.443,37.452,36.951,37.06,47809440,-0.001927445,0.008354111,0.62858927,60.093141,0.086297641,1.6688924,-0.89086487,0.024075869,3.0446267,0.037747578,0.17715089,,9.367817,0.07363,,,,,1,-0.30534461,,,-0.01668922,,,,,,,,,,,0,0,0,0,0,0,0,0,0
15-07-16,37.3275,37.3275,36.7025,36.772,62427700,-0.007801535,0.0071921,-1.3904346,56.305711,0.03790138,1.6832275,-0.39364164,0.014860537,2.9653068,0.027825528,0.1657871,,9.4217498,0.0631525,,,,,1,-0.30534461,,,-0.024330707,,,,,,,,,,,0,0,0,0,0,0,0,0,0
18-07-16,36.7745,37.07977,36.436,36.8035,59098280,0.000856263,6.80E-05,-2.3494919,56.627696,0.003434266,1.6866027,-0.50562447,0.01365411,2.5867235,0.026497288,0.16471425,,9.1999872,0.0601575,,,,,1,-0.30534461,,,-0.023494919,,,,,,,,,,,0,0,0,0,0,0,0,0,0
19-07-16,36.625,37.1665,36.6155,36.9975,44336400,0.005257393,-0.004861882,-1.1039681,58.648736,-0.010132961,1.6642968,-0.94587189,0.017180515,4.7509166,0.030012127,0.16882643,,9.1911178,0.0621475,,,,,1,-0.30534461,,,-0.018347528,,,,,,,,,,,0,0,0,0,0,0,0,0,0
20-07-16,37.2,37.3125,37.035,37.286,44280460,0.007767578,0.005458419,0.41608877,61.520327,-0.003835464,1.5938051,-0.87844669,0.023009903,4.4411143,0.036140996,0.17596077,,9.2975685,0.06563,,,,,1,-0.30534461,,,-0.010692775,,,,,,,,,,,0,0,0,0,0,0,0,0,0
21-07-16,37.375,37.468,37.13959,37.2215,46341440,-0.00173137,0.002384111,0.43577982,60.508631,-0.007936162,1.5455488,-0.8145358,0.018875956,3.9968148,0.033161137,0.17207128,,9.1507082,0.073635,,,,,1,-0.30534461,,,-0.01240415,,,,,,,,,,,0,0,0,0,0,0,0,0,0
