Fecha,Titular,Resumen,URL,Seccion,Desk,Tipo,Autor,Fuente
2025-12-02,"Amazon cuts seller fees in Europe in Shein, Temu price war","By Helen Reid LONDON, Dec 2 (Reuters) - Amazon (AMZN) is cutting the fees it charges sellers in Europe as it responds to competition ​from marketplaces like Shein and Temu that sell clothes, homeware and gadgets at ‌rock-bottom prices. The move, which Amazon said in a statement on Tuesday was one of its largest ever ‌fee reductions, is focused first on lowering fees for sellers of cheap fashion. It cuts the referral ",https://finance.yahoo.com/news/amazon-cuts-seller-fees-europe-124835845.html,finance.yahoo.com,,Article,,EODHD
2025-12-02,What Makes Amazon.com (AMZN) a Lucrative Investment?,"Heartland Advisors, an investment management company, released its third-quarter 2025 investor letter for its “Heartland Opportunistic Value Equity Strategy.” A copy of the letter can be downloaded here. In Q3, trends from Q2 continued, with rising optimism about the AI boom and increased electricity demand driving large- and mid-cap growth stocks to new highs, regardless of business model quality or valuation. The s",https://finance.yahoo.com/news/makes-amazon-com-amzn-lucrative-130011561.html,finance.yahoo.com,,Article,,EODHD
2025-12-02,Amazon Tests 'Ultra-Fast' Deliveries. This Grocery Delivery Stock Takes A Hit.,"Amazon will test an ""ultra-fast"" delivery service in Seattle and Philadelphia that promises to bring household essentials to customer doorsteps in about 30 minutes or less. Amazon stock gained early Tuesday, while shares of Instacart parent Maplebear fell and DoorDash stock edged lower. Amazon said in a blog post late Monday that it will offer ""thousands of everyday household essentials and fresh grocery items"" throu",https://finance.yahoo.com/m/33b9155e-2b79-3fb5-96c9-53b307d15138/amazon-tests-%27ultra-fast%27.html,finance.yahoo.com,,Article,,EODHD
2025-12-02,Zenity Announces Full-Lifecycle Security and Governance for Amazon Bedrock AgentCore to Protect Enterprise AI Agents,"Integration and AWS Marketplace availability give customers visibility and control over AI agents built on AgentCore NEW YORK, December 02, 2025--(BUSINESS WIRE)--Zenity, the leading security and governance platform for AI agents, today announced native support for Amazon Bedrock AgentCore, enabling enterprises to securely build, deploy, and manage homegrown AI agents across the AWS ecosystem. With this integration, ",https://finance.yahoo.com/news/zenity-announces-full-lifecycle-security-140000726.html,finance.yahoo.com,,Article,,EODHD
2025-12-02,"Informatica Announces New Integrations with Amazon Bedrock AgentCore, Empowering the Agentic Enterprise with Unified, Intelligent Data to build Trusted AI Agents and Applications","Informatica recognized with multiple 2025 AWS Partner Awards Informatica introduces new Model Context Protocol servers for Amazon Bedrock AgentCore, CLAIRE® AI integration with Anthropic Claude via Amazon Bedrock and Agentic Blueprint for enterprises at AWS re:Invent 2025 REDWOOD CITY, Calif., December 02, 2025--(BUSINESS WIRE)--Informatica from Salesforce, a leader in enterprise AI-powered cloud data management, tod",https://finance.yahoo.com/news/informatica-announces-integrations-amazon-bedrock-140000874.html,finance.yahoo.com,,Article,,EODHD
2025-12-02,Amazon tests 30-minute delivery in two US cities,"Amazon has launched a pilot program for ultra-fast delivery designed to drop off groceries and other household items in as little as 30 minutes, the company announced Monday afternoon. The Amazon Now (NASDAQ: AMZN) service is now available in parts of Seattle and Philadelphia, at a cost of $3.99 for Prime members and $13.99 for non-Prime members. Orders below $15 will be charged an extra $1.99. The announcement follo",https://finance.yahoo.com/news/amazon-tests-30-minute-delivery-153503573.html,finance.yahoo.com,,Article,,EODHD
2025-12-02,"Wall Street Bulls are Pounding the Table Over Amazon, Eli Lilly, and Apple","24/7 Wall St. Quick Read Wells Fargo just raised its price target on Amazon to $295 a share, with an overweight rating. Analysts at Bank of America reiterated a buy rating on Eli Lilly, with a price target of $1,286 from $950. Analysts at Bernstein just reiterated an outperform rating on Apple, noting that its checks show iPhone sales are strong. Some investors get rich while others struggle because they never learne",https://finance.yahoo.com/news/wall-street-bulls-pounding-table-163055144.html,finance.yahoo.com,,Article,,EODHD
