Date,270-Day YZ-HV
2020-12-14,36.19
2020-12-15,35.82
2020-12-16,35.76
2020-12-17,35.68
2020-12-18,35.51
2020-12-21,35.35
2020-12-22,35.30
2020-12-23,35.21
2020-12-24,35.12
2020-12-28,35.26
2020-12-29,35.26
2020-12-30,35.18
2020-12-31,35.10
2021-01-04,35.33
2021-01-05,35.27
2021-01-06,35.34
2021-01-07,35.29
2021-01-08,35.15
2021-01-11,34.85
2021-01-12,34.70
2021-01-13,34.64
2021-01-14,34.56
2021-01-15,34.50
2021-01-19,34.34
2021-01-20,34.37
2021-01-21,34.32
2021-01-22,34.25
2021-01-25,34.30
2021-01-26,33.46
2021-01-27,33.47
2021-01-28,33.45
2021-01-29,33.38
2021-02-01,33.54
2021-02-02,33.58
2021-02-03,33.56
2021-02-04,33.52
2021-02-05,33.54
2021-02-08,33.61
2021-02-09,33.58
2021-02-10,33.52
2021-02-11,33.44
2021-02-12,33.43
2021-02-16,33.57
2021-02-17,33.51
2021-02-18,33.46
2021-02-19,33.40
2021-02-22,33.32
2021-02-23,33.46
2021-02-24,33.42
2021-02-25,33.47
2021-02-26,33.55
2021-03-01,33.69
2021-03-02,33.69
2021-03-03,33.69
2021-03-04,33.72
2021-03-05,33.99
2021-03-08,33.70
2021-03-09,33.63
2021-03-10,33.61
2021-03-11,33.58
2021-03-12,33.57
2021-03-15,33.68
2021-03-16,33.68
2021-03-17,33.69
2021-03-18,33.68
2021-03-19,33.68
2021-03-22,33.78
2021-03-23,33.77
2021-03-24,33.70
2021-03-25,33.67
2021-03-26,33.65
2021-03-29,33.59
2021-03-30,33.52
2021-03-31,33.46
2021-04-01,33.39
2021-04-05,33.38
2021-04-06,33.32
2021-04-07,33.28
2021-04-08,33.21
2021-04-09,32.66
2021-04-12,32.15
2021-04-13,32.13
2021-04-14,32.06
2021-04-15,32.01
2021-04-16,31.84
2021-04-19,31.78
2021-04-20,31.53
2021-04-21,31.48
2021-04-22,31.41
2021-04-23,31.33
2021-04-26,31.38
2021-04-27,30.60
2021-04-28,30.56
2021-04-29,30.55
2021-04-30,30.61
2021-05-03,30.67
2021-05-04,30.69
2021-05-05,30.66
2021-05-06,30.62
2021-05-07,30.56
2021-05-10,30.55
2021-05-11,30.67
2021-05-12,30.67
2021-05-13,30.65
2021-05-14,30.65
2021-05-17,30.71
2021-05-18,30.73
2021-05-19,30.71
2021-05-20,30.63
2021-05-21,30.51
2021-05-24,30.54
2021-05-25,30.57
2021-05-26,30.51
2021-05-27,30.43
2021-05-28,30.37
2021-06-01,29.34
2021-06-02,29.27
2021-06-03,29.22
2021-06-04,29.16
2021-06-07,28.16
2021-06-08,28.05
2021-06-09,27.98
2021-06-10,27.93
2021-06-11,27.82
2021-06-14,27.67
2021-06-15,27.49
2021-06-16,27.46
2021-06-17,27.43
2021-06-18,27.27
2021-06-21,26.91
2021-06-22,26.78
2021-06-23,26.72
2021-06-24,26.70
2021-06-25,26.62
2021-06-28,26.53
2021-06-29,26.34
2021-06-30,26.29
2021-07-01,26.24
2021-07-02,26.25
2021-07-06,26.31
2021-07-07,26.29
2021-07-08,26.40
2021-07-09,26.15
2021-07-12,25.99
2021-07-13,25.49
2021-07-14,25.45
2021-07-15,25.41
2021-07-16,25.29
2021-07-19,25.29
2021-07-20,25.27
2021-07-21,25.23
2021-07-22,25.18
2021-07-23,25.00
2021-07-26,24.88
2021-07-27,24.74
2021-07-28,24.70
2021-07-29,24.66
2021-07-30,25.95
2021-08-02,25.40
2021-08-03,25.35
2021-08-04,25.30
2021-08-05,25.25
2021-08-06,24.79
2021-08-09,24.62
2021-08-10,24.58
2021-08-11,24.55
2021-08-12,24.50
2021-08-13,24.41
2021-08-16,24.58
2021-08-17,24.60
2021-08-18,24.56
2021-08-19,24.54
2021-08-20,24.49
2021-08-23,24.53
2021-08-24,24.52
2021-08-25,24.47
2021-08-26,24.42
2021-08-27,24.32
2021-08-30,24.35
2021-08-31,24.39
2021-09-01,24.37
2021-09-02,24.33
2021-09-03,24.33
2021-09-07,24.33
2021-09-08,24.28
2021-09-09,24.26
2021-09-10,24.21
2021-09-13,24.24
2021-09-14,24.20
2021-09-15,24.21
2021-09-16,24.17
2021-09-17,24.14
2021-09-20,24.49
2021-09-21,24.45
2021-09-22,24.40
2021-09-23,24.35
2021-09-24,24.22
2021-09-27,24.38
2021-09-28,24.43
2021-09-29,24.40
2021-09-30,24.36
2021-10-01,24.24
2021-10-04,24.11
2021-10-05,24.12
2021-10-06,24.09
2021-10-07,24.07
2021-10-08,24.02
2021-10-11,24.07
2021-10-12,24.05
2021-10-13,24.01
2021-10-14,23.95
2021-10-15,23.95
2021-10-18,23.83
2021-10-19,23.83
2021-10-20,23.80
2021-10-21,23.74
2021-10-22,23.62
2021-10-25,23.50
2021-10-26,23.55
2021-10-27,23.55
2021-10-28,23.56
2021-10-29,24.08
2021-11-01,24.00
2021-11-02,23.97
2021-11-03,23.96
2021-11-04,24.01
2021-11-05,24.07
2021-11-08,24.20
2021-11-09,24.25
2021-11-10,24.34
2021-11-11,24.35
2021-11-12,24.37
2021-11-15,24.41
2021-11-16,24.40
2021-11-17,24.37
2021-11-18,24.39
2021-11-19,24.38
2021-11-22,24.20
2021-11-23,24.14
2021-11-24,24.14
2021-11-26,24.18
2021-11-29,24.05
2021-11-30,23.68
2021-12-01,23.72
2021-12-02,23.71
2021-12-03,23.71
2021-12-06,23.60
2021-12-07,23.67
2021-12-08,23.63
2021-12-09,23.60
2021-12-10,23.64
2021-12-13,23.51
2021-12-14,23.56
2021-12-15,23.78
2021-12-16,23.81
2021-12-17,23.90
2021-12-20,23.97
2021-12-21,24.01
2021-12-22,24.00
2021-12-23,23.96
2021-12-27,24.07
2021-12-28,24.04
2021-12-29,24.00
2021-12-30,23.96
2021-12-31,23.94
2022-01-03,24.03
2022-01-04,24.07
2022-01-05,24.02
2022-01-06,24.01
2022-01-07,24.03
2022-01-10,24.30
